N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,NONIID,UNBALANCED,TIME,ACCURACY
128,1,0.0,0,0,0,0,48.169171,77.2500
128,1,0.0,0,0,0,1,44.400364,77.0300
128,1,0.0,0,0,1,0,49.320547,75.7000
128,1,0.0,0,0,1,1,51.656238,71.9300
128,1,0.0,0,2,0,0,49.355759,77.2600
128,1,0.0,0,2,0,1,52.825973,77.0400
128,1,0.0,0,2,1,0,,
128,1,0.0,0,2,1,1,47.400948,71.2600
128,1,0.0,0,3,0,0,48.000919,77.3100
128,1,0.0,0,3,0,1,50.561193,81.7200
128,1,0.0,0,3,1,0,47.330140,10.0000
128,1,0.0,0,3,1,1,56.685760,10.0000
128,1,0.0,1,0,0,0,39.768483,76.3400
128,1,0.0,1,0,0,1,41.327849,79.6400
128,1,0.0,1,0,1,0,36.090102,72.3300
128,1,0.0,1,0,1,1,40.198522,71.3700
128,1,0.0,1,2,0,0,38.505145,76.4200
128,1,0.0,1,2,0,1,46.803603,79.6800
128,1,0.0,1,2,1,0,38.034106,72.4200
128,1,0.0,1,2,1,1,44.540487,69.1500
128,1,0.0,1,3,0,0,41.176667,76.4900
128,1,0.0,1,3,0,1,43.797703,81.3900
128,1,0.0,1,3,1,0,36.769300,10.0000
128,1,0.0,1,3,1,1,,
128,1,0.0,2,0,0,0,39.027116,76.9800
128,1,0.0,2,0,0,1,37.454617,75.3700
128,1,0.0,2,0,1,0,40.022225,75.7500
128,1,0.0,2,0,1,1,30.192049,61.3200
128,1,0.0,2,2,0,0,,
128,1,0.0,2,2,0,1,37.485034,75.5600
128,1,0.0,2,2,1,0,37.265824,75.9200
128,1,0.0,2,2,1,1,34.488394,55.3400
128,1,0.0,2,3,0,0,45.090096,76.9800
128,1,0.0,2,3,0,1,,
128,1,0.0,2,3,1,0,38.958752,32.1700
128,1,0.0,2,3,1,1,,19.7500
32,1,0.0,0,0,0,0,,
32,1,0.0,0,0,0,1,60.975934,80.9500
32,1,0.0,0,0,1,0,48.920831,77.6700
32,1,0.0,0,0,1,1,47.443826,64.3500
32,1,0.0,0,2,0,0,48.764425,80.9500
32,1,0.0,0,2,0,1,56.409745,80.9400
32,1,0.0,0,2,1,0,46.658337,77.4900
32,1,0.0,0,2,1,1,60.036647,63.9100
32,1,0.0,0,3,0,0,51.294161,80.9300
32,1,0.0,0,3,0,1,55.683306,82.5700
32,1,0.0,0,3,1,0,49.234561,10.0400
32,1,0.0,0,3,1,1,52.563336,19.9100
32,1,0.0,1,0,0,0,41.660898,80.5800
32,1,0.0,1,0,0,1,43.471516,81.5200
32,1,0.0,1,0,1,0,37.391866,72.4000
32,1,0.0,1,0,1,1,45.044924,59.2100
32,1,0.0,1,2,0,0,44.817657,80.6100
32,1,0.0,1,2,0,1,47.238965,81.4600
32,1,0.0,1,2,1,0,43.952903,70.5800
32,1,0.0,1,2,1,1,41.517041,60.5200
32,1,0.0,1,3,0,0,39.733264,80.3400
32,1,0.0,1,3,0,1,47.859144,82.0800
32,1,0.0,1,3,1,0,43.611057,10.0000
32,1,0.0,1,3,1,1,42.657297,25.0900
32,1,0.0,2,0,0,0,50.519540,80.7200
32,1,0.0,2,0,0,1,,
32,1,0.0,2,0,1,0,40.394732,73.4800
32,1,0.0,2,0,1,1,,
32,1,0.0,2,2,0,0,43.972595,80.6600
32,1,0.0,2,2,0,1,43.463418,80.3400
32,1,0.0,2,2,1,0,,
32,1,0.0,2,2,1,1,,
32,1,0.0,2,3,0,0,46.722533,80.5000
32,1,0.0,2,3,0,1,,
32,1,0.0,2,3,1,0,,
32,1,0.0,2,3,1,1,,19.6300
64,1,0.0,0,0,0,0,41.110241,79.1600
64,1,0.0,0,0,0,1,47.696896,79.3700
64,1,0.0,0,0,1,0,37.957835,76.6900
64,1,0.0,0,0,1,1,38.925250,71.5200
64,1,0.0,0,2,0,0,39.512733,79.1500
64,1,0.0,0,2,0,1,48.688263,79.3600
64,1,0.0,0,2,1,0,40.197478,76.6400
64,1,0.0,0,2,1,1,53.059943,71.0000
64,1,0.0,0,3,0,0,43.403869,79.3400
64,1,0.0,0,3,0,1,48.636912,82.2000
64,1,0.0,0,3,1,0,38.193471,10.0000
64,1,0.0,0,3,1,1,48.780612,19.9100
64,1,0.0,1,0,0,0,37.074838,78.6900
64,1,0.0,1,0,0,1,41.490849,80.5700
64,1,0.0,1,0,1,0,37.845841,70.8100
64,1,0.0,1,0,1,1,34.606332,69.7600
64,1,0.0,1,2,0,0,39.184974,78.6700
64,1,0.0,1,2,0,1,40.556282,80.5400
64,1,0.0,1,2,1,0,35.366210,70.1800
64,1,0.0,1,2,1,1,44.637182,68.8000
64,1,0.0,1,3,0,0,33.985888,78.7800
64,1,0.0,1,3,0,1,45.127454,81.6500
64,1,0.0,1,3,1,0,38.372319,10.0000
64,1,0.0,1,3,1,1,38.901766,22.2800
64,1,0.0,2,0,0,0,,
64,1,0.0,2,0,0,1,,
64,1,0.0,2,0,1,0,,
64,1,0.0,2,0,1,1,,
64,1,0.0,2,2,0,0,,
64,1,0.0,2,2,0,1,,
64,1,0.0,2,2,1,0,,
64,1,0.0,2,2,1,1,,
64,1,0.0,2,3,0,0,,
64,1,0.0,2,3,0,1,,
64,1,0.0,2,3,1,0,49.727180,37.0700
64,1,0.0,2,3,1,1,,12.5000
8,1,0.0,0,0,0,0,81.378153,83.3000
8,1,0.0,0,0,0,1,83.340170,83.3100
8,1,0.0,0,0,1,0,82.274093,72.8800
8,1,0.0,0,0,1,1,83.251388,67.7900
8,1,0.0,0,2,0,0,80.496727,83.3000
8,1,0.0,0,2,0,1,81.785584,83.3000
8,1,0.0,0,2,1,0,81.825880,72.9400
8,1,0.0,0,2,1,1,83.573513,67.7700
8,1,0.0,0,3,0,0,88.062565,83.1800
8,1,0.0,0,3,0,1,89.744406,83.8300
8,1,0.0,0,3,1,0,88.540044,28.7300
8,1,0.0,0,3,1,1,88.732390,36.7200
8,1,0.0,1,0,0,0,88.503449,83.2100
8,1,0.0,1,0,0,1,85.733648,83.4000
8,1,0.0,1,0,1,0,86.461330,64.1800
8,1,0.0,1,0,1,1,86.668131,69.6500
8,1,0.0,1,2,0,0,86.612145,83.2100
8,1,0.0,1,2,0,1,85.860985,83.4500
8,1,0.0,1,2,1,0,86.913533,64.7500
8,1,0.0,1,2,1,1,85.516308,69.6900
8,1,0.0,1,3,0,0,87.599343,83.2200
8,1,0.0,1,3,0,1,86.098648,83.3100
8,1,0.0,1,3,1,0,88.384870,28.6900
8,1,0.0,1,3,1,1,86.585196,36.6800
8,1,0.0,2,0,0,0,81.958627,82.9700
8,1,0.0,2,0,0,1,79.104813,82.5300
8,1,0.0,2,0,1,0,,
8,1,0.0,2,0,1,1,,
8,1,0.0,2,2,0,0,83.007907,83.0800
8,1,0.0,2,2,0,1,,
8,1,0.0,2,2,1,0,,
8,1,0.0,2,2,1,1,,
8,1,0.0,2,3,0,0,88.702734,83.0500
8,1,0.0,2,3,0,1,,
8,1,0.0,2,3,1,0,,
8,1,0.0,2,3,1,1,,19.7800
